case_id,slice,language_profile,audio_duration_sec,segment_idx,start_sec,end_sec,duration_sec,pyannote_speaker,gt_role,text,llm_role,llm_correct
v2_core001,clean_turn_taking,mandarin,45.46,0,0.031,0.638,0.608,SPEAKER_00,agent,您好，凱基人壽客服中心，我姓韓。,,
v2_core001,clean_turn_taking,mandarin,45.46,1,0.892,2.647,1.755,SPEAKER_00,agent,您好，凱基人壽客服中心，我姓韓。,,
v2_core001,clean_turn_taking,mandarin,45.46,2,2.68,3.423,0.743,SPEAKER_00,agent,您好，凱基人壽客服中心，我姓韓。,,
v2_core001,clean_turn_taking,mandarin,45.46,3,3.98,4.537,0.557,SPEAKER_01,customer,韓小姐，我的房貸快提前清償了，當初一起辦的壽險是不是也會跟著結束？,,
v2_core001,clean_turn_taking,mandarin,45.46,4,4.958,6.41,1.451,SPEAKER_01,customer,韓小姐，我的房貸快提前清償了，當初一起辦的壽險是不是也會跟著結束？,,
v2_core001,clean_turn_taking,mandarin,45.46,5,6.612,9.127,2.514,SPEAKER_01,customer,韓小姐，我的房貸快提前清償了，當初一起辦的壽險是不是也會跟著結束？,,
v2_core001,clean_turn_taking,mandarin,45.46,6,9.616,14.83,5.214,SPEAKER_00,agent,我要先確認您那張契約是房貸壽險還是一般壽險附加貸款約定。請提供姓名和身分證後四碼。,,
v2_core001,clean_turn_taking,mandarin,45.46,7,15.792,18.307,2.514,SPEAKER_00,agent,我要先確認您那張契約是房貸壽險還是一般壽險附加貸款約定。請提供姓名和身分證後四碼。,,
v2_core001,clean_turn_taking,mandarin,45.46,8,18.728,19.319,0.591,SPEAKER_01,customer,洪啟文，後四碼七二四零。,,
v2_core001,clean_turn_taking,mandarin,45.46,9,19.572,20.821,1.249,SPEAKER_01,customer,洪啟文，後四碼七二四零。,,
v2_core001,clean_turn_taking,mandarin,45.46,10,21.412,23.437,2.025,SPEAKER_00,agent,查到是遞減型房貸壽險，保障期間仍依保單年度走，不會因為銀行提前清償就自動消失。,,
v2_core001,clean_turn_taking,mandarin,45.46,11,23.707,25.732,2.025,SPEAKER_00,agent,查到是遞減型房貸壽險，保障期間仍依保單年度走，不會因為銀行提前清償就自動消失。,,
v2_core001,clean_turn_taking,mandarin,45.46,12,25.985,28.904,2.919,SPEAKER_00,agent,查到是遞減型房貸壽險，保障期間仍依保單年度走，不會因為銀行提前清償就自動消失。,,
v2_core001,clean_turn_taking,mandarin,45.46,13,29.326,30.76,1.434,SPEAKER_01,customer,那受益人還是銀行嗎？如果貸款清掉，我想改成家人。,,
