case_id,category,has_domain_terms,domain_terms,reference_text
d0046,lapse_reinstate,True,復效申請|健康告知|補繳保費|復效條件,您好，我的凱基人壽心康泰住院醫療限額給付健康保險附約之前因為忘記繳費而失效了，現在想要辦理復效。請問復效申請需要什麼條件，已經失效多久了還可以申請復效，是不是有年限的限制。辦理復效的時候需要重新做健康告知嗎，如果這段失效期間有新的疾病或就醫紀錄，這些情況會影響復效的核准嗎。另外復效時需要補繳失效期間的所有保費嗎，補繳的保費有沒有利息，麻煩告知我完整的辦理流程。
d0029,product_inquiry,True,月配息|配息來源|投資報酬|配息金額,您好，我對凱基人壽新豐利月增變額壽險的月配息機制很有興趣，想多了解一些細節。請問這個商品的月配息是從投資報酬裡提撥，還是可能會動用到本金。如果市場表現不好，沒有足夠的投資收益，當月還是會配息嗎。另外我想知道每月配息的金額是固定的還是會根據投資績效每月調整，以及我可以自己決定配息金額嗎，還是說配息比例是固定的，謝謝妳的說明。
d0021,policy_change,True,繳費帳戶|自動扣繳|銀行帳號|變更生效,您好，我想更新凱基人壽享安心長期照顧終身保險的自動扣繳帳戶。我原本設定的是某家銀行的帳戶，但那個帳戶最近要關閉，想改成另一家銀行的帳號。請問辦理扣繳帳戶變更需要什麼程序，要提供新帳戶的存摺影本嗎，還是只要填申請書就好。另外想確認一下，這個月的保費繳費日快到了，如果現在申請變更，能在這個月的繳費日前生效嗎，還是說這個月還是會從舊帳戶扣款。
d0023,policy_change,True,減額繳清|保單現金價值|保障變更|申請條件,您好，我想詢問凱基人壽心安心照護終身保險辦理減額繳清的相關事宜。我最近經濟狀況比較吃緊，沒辦法繼續繳每年的保費，但又不想就這樣把保單解約，想了解減額繳清是不是一個比較好的選擇。請問辦理減額繳清之後，我的保障內容會有什麼變化，保額會降低多少，保障期間還是一樣嗎。另外申請減額繳清需要符合什麼條件，這張保單目前的保單現金價值是否足夠辦理，麻煩妳幫我說明一下。
d0040,account_mgmt,True,外幣提領|台幣提領|匯率計算|外幣變額壽險,您好，我有一張凱基人壽鑫旺九九外幣變額壽險，帳戶裡有一些錢想要提領出來。我想詢問如果我要提領，是可以直接領美元現金還是只能轉到外幣帳戶。如果我想要折換成台幣提領，匯率是以申請當天的什麼匯率計算，是買入匯率還是賣出匯率。另外這個保單的提領流程跟台幣保單一樣嗎，有沒有什麼特別要注意的地方，麻煩妳幫我說明清楚。
d0017,policy_inquiry,True,外幣保單|匯率風險|繳費幣別|給付幣別,您好，我有一張凱基人壽金美滿外幣利率變動型年金保險，想了解一些外幣保單的相關問題。這張保單的繳費幣別和給付幣別都是美元嗎，如果我在繳費時匯率比較差，繳費金額換算成台幣後會比較多，這個匯率風險由我自己承擔嗎。另外請問這張保單到了年金給付時，我可以選擇領取美元現金還是折換成台幣，匯率是以哪天的牌告匯率來計算，謝謝妳。
d0034,payment,True,保費寬限期|失效|補繳保費|保障中斷,您好，我想詢問凱基人壽享順心長期照顧終身健康保險的繳費寬限期相關規定。這個月的保費繳費日已經過了，但因為帳戶餘額不足沒有成功扣款，想問一下現在還在寬限期內嗎，寬限期是幾天。如果在寬限期內繳清保費，保障不會中斷對嗎，那如果超過寬限期，這張保單就會直接進入失效狀態嗎。失效之後如果想要復效，需要在多少時間內申請，以及復效需要準備什麼文件，麻煩妳說明一下流程。
d0011,policy_inquiry,True,帳戶價值|投資標的|保單借款|解約金,您好，我有一張凱基人壽步步穩盈變額壽險，想請問一下目前的帳戶價值是多少。我記得上次收到的保單週年報告上有顯示數字，但我想要確認最新的狀況。另外我想了解一下，如果現在想要做保單借款，可借的金額是依照帳戶價值來計算嗎，利率大概是多少。我也想請問一下解約金跟帳戶價值的差異是什麼，如果現在解約的話大概可以拿回多少錢，謝謝妳的說明。
d0039,account_mgmt,True,超額保費|部分提領|提領手續費|入帳時間,您好，我有一張凱基人壽活利鑫動變額壽險，之前有繳了一些超額保費到帳戶裡，現在需要用錢，想申請部分提領。請問部分提領的申請方式是怎麼樣，最快可以在幾個工作天內入帳。提領的金額有沒有最低或最高的限制，每次提領有手續費嗎，還是說每年有幾次免費提領的機會。另外我想確認一下，提領後帳戶價值如果低於某個金額，保險公司會有什麼相對應的處理，麻煩說明一下。
d0010,claim,True,理賠進度|補件通知|理賠核定|給付入帳,您好，我上個月已經提交了凱基人壽醫卡守護重大傷病定期健康保險的理賠申請，想詢問一下目前的理賠進度。之前有收到一封補件通知，說需要補充主治醫師的診斷書，我已經補交了，想確認一下是否有收到。請問現在審核到哪個階段了，如果核定通過的話大概什麼時候可以入帳。另外我想確認一下入帳的帳戶是當初投保時填的那個帳號，還是可以臨時更改到其他帳戶。
