model,noise_type,snr_db,case_id,category,repeat,status,audio_duration_s,cer,hyp_text,ref_text,inference_time_ms,rtf,ttfp_ms,ttff_ms,e2e_ms,error_msg
fire-red-asr2,clean,,d0046,lapse_reinstate,1,ok,45.278,16.57,您好我的凱基人壽星康泰住院醫療限額及健康保險赴約之前因為忘記繳費而失效了現在想要辦理覆校請問付校申請需要什麼條件已經失效多久了還可以申請覆校是不是有年限的限制辦理覆校的時候需要重新做健康告知嗎如果這段失效期間有新的疾病或就醫記錄這些情況會影響附校的核準嗎另外付時需要補繳失效期間的所有保費嗎補繳的保費有沒有利息麻煩告知我完整的辦理流程,您好，我的凱基人壽心康泰住院醫療限額給付健康保險附約之前因為忘記繳費而失效了，現在想要辦理復效。請問復效申請需要什麼條件，已經失效多久了還可以申請復效，是不是有年限的限制。辦理復效的時候需要重新做健康告知嗎，如果這段失效期間有新的疾病或就醫紀錄，這些情況會影響復效的核准嗎。另外復效時需要補繳失效期間的所有保費嗎，補繳的保費有沒有利息，麻煩告知我完整的辦理流程。,8953.4,0.198,,,,
fire-red-asr2,codec,15.0,d0046,lapse_reinstate,1,ok,45.278,17.13,您好我的凱基人壽星康泰住院醫療額及負健康保險赴約之前因為忘記繳費而失效了現在想要辦理覆校請問覆校申請需要什麼條件已經失效多久了還可以申請覆校是不是有年限的限制辦理覆校的時候需要重新做健康告知嗎如果這段失效期間有新的疾病或就醫記錄這些情況會影響附校的核準嗎另外付校時需要補繳失效期間的所有保費嗎補繳的保費有沒有利息麻煩告知我完整的辦理流程,您好，我的凱基人壽心康泰住院醫療限額給付健康保險附約之前因為忘記繳費而失效了，現在想要辦理復效。請問復效申請需要什麼條件，已經失效多久了還可以申請復效，是不是有年限的限制。辦理復效的時候需要重新做健康告知嗎，如果這段失效期間有新的疾病或就醫紀錄，這些情況會影響復效的核准嗎。另外復效時需要補繳失效期間的所有保費嗎，補繳的保費有沒有利息，麻煩告知我完整的辦理流程。,8396.8,0.185,,,,
fire-red-asr2,echo,15.0,d0046,lapse_reinstate,1,ok,45.278,22.1,您好我的凱機壽星康泰院醫療額幾部健康保險護約之前因為忘記繳背而失效了現在想要辦理附校請問覆校申請需要什麼條件已經失效多久了還可以申請護是不是有年限的限制辦理復的時候需要重新做健康告知嗎如果這段失效期間有新的疾病或就益記錄這些情況會影響護的核準嗎另外付時需要補繳失效期間的所有寶貝嗎補的寶貝有沒有利息麻煩告知我完整的辦理流程,您好，我的凱基人壽心康泰住院醫療限額給付健康保險附約之前因為忘記繳費而失效了，現在想要辦理復效。請問復效申請需要什麼條件，已經失效多久了還可以申請復效，是不是有年限的限制。辦理復效的時候需要重新做健康告知嗎，如果這段失效期間有新的疾病或就醫紀錄，這些情況會影響復效的核准嗎。另外復效時需要補繳失效期間的所有保費嗎，補繳的保費有沒有利息，麻煩告知我完整的辦理流程。,8120.0,0.179,,,,
fire-red-asr2,babble,15.0,d0046,lapse_reinstate,1,ok,45.278,17.13,您好我的凱基人壽星康泰住院醫療額及健康保險赴約之前因為忘記繳費而失效了現在想要辦理覆校請問覆校申請需要什麼條件已經失效多久了還可以申請覆校是不是有年限的限制辦理覆校的時候需要重新做健康告知嗎如果這段失效期間有新的疾病或就醫記錄這些情況會影響附校的核準嗎另外付校時需要補繳失效期間的所有保費嗎補繳的保費有沒有利息麻煩告知我完整的辦理流程,您好，我的凱基人壽心康泰住院醫療限額給付健康保險附約之前因為忘記繳費而失效了，現在想要辦理復效。請問復效申請需要什麼條件，已經失效多久了還可以申請復效，是不是有年限的限制。辦理復效的時候需要重新做健康告知嗎，如果這段失效期間有新的疾病或就醫紀錄，這些情況會影響復效的核准嗎。另外復效時需要補繳失效期間的所有保費嗎，補繳的保費有沒有利息，麻煩告知我完整的辦理流程。,8427.3,0.186,,,,
fire-red-asr2,clean,,d0029,product_inquiry,1,ok,37.339,14.81,您好我對凱基人壽新風月增變額壽險的月配習機制很有興趣想多瞭解一些細節請問這個商品的月配席是從投資報酬裡提播還是可能會動用到本金如果市場表現不好沒有足夠的投資收益當月還是會配嗎另外我想知道每月配習的金額是固定的還是會根據投資機效每月調整以及我可以自己決定配習金額嗎還是說配習比例是固定的謝謝你的說明,您好，我對凱基人壽新豐利月增變額壽險的月配息機制很有興趣，想多了解一些細節。請問這個商品的月配息是從投資報酬裡提撥，還是可能會動用到本金。如果市場表現不好，沒有足夠的投資收益，當月還是會配息嗎。另外我想知道每月配息的金額是固定的還是會根據投資績效每月調整，以及我可以自己決定配息金額嗎，還是說配息比例是固定的，謝謝妳的說明。,6681.7,0.179,,,,
fire-red-asr2,codec,15.0,d0029,product_inquiry,1,ok,37.339,15.43,您好我對凱基人壽新風月增變額壽險的樂配席機制很有興趣想多瞭解一些細節請問這個商品的月配席是從投資報酬裡提波還是可能會動用到本金如果市場表現不好沒有足夠的投資收益當月還是會配嗎另外我想知道每月配的金額是固定的還是會根據投資機效每月調整以及我可以自己決定配習金額嗎還是說配習比例是固定的謝謝你的說明,您好，我對凱基人壽新豐利月增變額壽險的月配息機制很有興趣，想多了解一些細節。請問這個商品的月配息是從投資報酬裡提撥，還是可能會動用到本金。如果市場表現不好，沒有足夠的投資收益，當月還是會配息嗎。另外我想知道每月配息的金額是固定的還是會根據投資績效每月調整，以及我可以自己決定配息金額嗎，還是說配息比例是固定的，謝謝妳的說明。,6898.4,0.185,,,,
fire-red-asr2,echo,15.0,d0029,product_inquiry,1,ok,37.339,15.43,您好我對凱基人壽新松月增變額壽險的樂配席機制很有興趣想多瞭解一些細節請問這個商品的月配席是從投資報酬裡提播還是可能會動用到本金如果市場表現不好沒有足夠的投資收益當月還是會配嗎另外我想知道每月配習的金額是固定的還是會根據投資機效每月調整以及我可以自己決定配金額嗎還是說配習比例是固定的的謝謝你的說明,您好，我對凱基人壽新豐利月增變額壽險的月配息機制很有興趣，想多了解一些細節。請問這個商品的月配息是從投資報酬裡提撥，還是可能會動用到本金。如果市場表現不好，沒有足夠的投資收益，當月還是會配息嗎。另外我想知道每月配息的金額是固定的還是會根據投資績效每月調整，以及我可以自己決定配息金額嗎，還是說配息比例是固定的，謝謝妳的說明。,6427.6,0.172,,,,
fire-red-asr2,babble,15.0,d0029,product_inquiry,1,ok,37.339,14.81,您好我對凱基人壽新風月增變額壽險的月配襲機制很有興趣想多瞭解一些細節請問這個商品的月配席是從投資報酬裡提播還是可能會動用到本金如果市場表現不好沒有足夠的投資收益當月還是會配嗎另外我想知道每月配習的金額是固定的還是會根據投資機效每月調整以及我可以自己決定配習金額嗎還是說配習比例是固定的謝謝你的說明,您好，我對凱基人壽新豐利月增變額壽險的月配息機制很有興趣，想多了解一些細節。請問這個商品的月配息是從投資報酬裡提撥，還是可能會動用到本金。如果市場表現不好，沒有足夠的投資收益，當月還是會配息嗎。另外我想知道每月配息的金額是固定的還是會根據投資績效每月調整，以及我可以自己決定配息金額嗎，還是說配息比例是固定的，謝謝妳的說明。,6763.8,0.181,,,,
fire-red-asr2,clean,,d0021,policy_change,1,ok,38.641,15.38,您好我想更新凱人壽想安心長期照顧終身保險的自動扣腳賬戶我原本設定的是某家銀行的賬戶但那個賬戶最近要關閉想改成另一家銀行的賬號請問辦理扣腳賬戶變更需要什麼程序要提供新賬戶的存摺銀本嗎還是隻要填申請書就好另外想確認一下這個月的保費繳費日快到了如果現在申請變更能在這個月的繳費日前生效嗎還是說這個月還是會從舊賬戶扣款,您好，我想更新凱基人壽享安心長期照顧終身保險的自動扣繳帳戶。我原本設定的是某家銀行的帳戶，但那個帳戶最近要關閉，想改成另一家銀行的帳號。請問辦理扣繳帳戶變更需要什麼程序，要提供新帳戶的存摺影本嗎，還是只要填申請書就好。另外想確認一下，這個月的保費繳費日快到了，如果現在申請變更，能在這個月的繳費日前生效嗎，還是說這個月還是會從舊帳戶扣款。,7025.7,0.182,,,,
fire-red-asr2,codec,15.0,d0021,policy_change,1,ok,38.641,15.38,您好我想更新凱人壽想安心長期照顧終身保險的自動扣腳賬戶我原本設定的是某家銀行的賬戶但那個賬戶最近要關閉想改成另一家銀行的賬號請問辦理扣腳賬戶變更需要什麼程序要提供新賬戶的存摺銀本嗎還是隻要填申請書就好另外想確認一下這個月的保費繳費日快到了如果現在申請變更能在這個月的繳費日前生效嗎還是說這個月還是會從舊賬戶扣款,您好，我想更新凱基人壽享安心長期照顧終身保險的自動扣繳帳戶。我原本設定的是某家銀行的帳戶，但那個帳戶最近要關閉，想改成另一家銀行的帳號。請問辦理扣繳帳戶變更需要什麼程序，要提供新帳戶的存摺影本嗎，還是只要填申請書就好。另外想確認一下，這個月的保費繳費日快到了，如果現在申請變更，能在這個月的繳費日前生效嗎，還是說這個月還是會從舊帳戶扣款。,7294.7,0.189,,,,
