model,noise_type,snr_db,case_id,category,repeat,status,audio_duration_s,cer,hyp_text,ref_text,inference_time_ms,rtf,ttfp_ms,ttff_ms,e2e_ms,error_msg
fun-asr-nano,clean,,d0046,lapse_reinstate,1,ok,45.278,17.13,您好我的凱基人壽新康泰住院醫療限額給付健康保險赴約之前因為忘記繳費而失效了現在想要辦理覆校 請問副校申請需要什麼條件？已經失效多久了，還可以申請副校？是不是有年限的限制？ 理覆校的時候需要重新做健康告知嗎？如果這段失效期間有新的疾病或就醫記錄，這些情況會影響覆校的核準嗎？ 另外，覆校時需要補繳時效期間的所有保費嗎？補繳的保費有沒有利息？麻煩告知我，完整的辦理流程。,您好，我的凱基人壽心康泰住院醫療限額給付健康保險附約之前因為忘記繳費而失效了，現在想要辦理復效。請問復效申請需要什麼條件，已經失效多久了還可以申請復效，是不是有年限的限制。辦理復效的時候需要重新做健康告知嗎，如果這段失效期間有新的疾病或就醫紀錄，這些情況會影響復效的核准嗎。另外復效時需要補繳失效期間的所有保費嗎，補繳的保費有沒有利息，麻煩告知我完整的辦理流程。,6700.9,0.148,,,,
fun-asr-nano,codec,15.0,d0046,lapse_reinstate,1,ok,45.278,13.81,您好，我的凱基人壽新康泰住院醫療限額給付健康保險赴約之前，因為忘記繳費而失效了，現在想要辦理復效。 請問覆校申請需要什麼條件？已經失效多久了還可以申請覆校是不是有年限的限制？ 裡覆校的時候需要重新做健康告知嗎？如果這段失效期間有新的疾病或就醫記錄，這些情況會影響覆校的核準嗎？ 另外，覆校時需要補繳失效期間的所有保費嗎？補繳的保費有沒有利息？麻煩告知我完整的辦理流程。,您好，我的凱基人壽心康泰住院醫療限額給付健康保險附約之前因為忘記繳費而失效了，現在想要辦理復效。請問復效申請需要什麼條件，已經失效多久了還可以申請復效，是不是有年限的限制。辦理復效的時候需要重新做健康告知嗎，如果這段失效期間有新的疾病或就醫紀錄，這些情況會影響復效的核准嗎。另外復效時需要補繳失效期間的所有保費嗎，補繳的保費有沒有利息，麻煩告知我完整的辦理流程。,5385.1,0.119,,,,
fun-asr-nano,echo,15.0,d0046,lapse_reinstate,1,ok,45.278,16.57,您好，我的凱基人壽新康泰住院醫療限額，幾部健康保險不約之前因為忘記繳費而失效了，現在想要辦理補校。 請問，護校申請需要什麼條件？已經失效多久了？還可以申請護校，是不是有年限的限制？ 你護校的時候需要重新做健康告知嗎？如果這段失效期間有新的疾病或就醫記錄，這些情況會影響護校的核準嗎？ 另外，付效時需要補繳時效期間的所有保費嗎？補繳的保費有沒有利息？麻煩告知我完整的辦理流程。,您好，我的凱基人壽心康泰住院醫療限額給付健康保險附約之前因為忘記繳費而失效了，現在想要辦理復效。請問復效申請需要什麼條件，已經失效多久了還可以申請復效，是不是有年限的限制。辦理復效的時候需要重新做健康告知嗎，如果這段失效期間有新的疾病或就醫紀錄，這些情況會影響復效的核准嗎。另外復效時需要補繳失效期間的所有保費嗎，補繳的保費有沒有利息，麻煩告知我完整的辦理流程。,6446.5,0.142,,,,
fun-asr-nano,babble,15.0,d0046,lapse_reinstate,1,ok,45.278,14.92,您好，我的凱基人壽新康泰住院醫療限額給付健康保險赴約之前，因為忘記繳費而失效了，現在想要辦理覆校。 請問副校申請需要什麼條件？已經失效多久了，還可以申請副校？是不是有年限的限制？ 理護校的時候需要重新做健康告知嗎？如果這段失效期間有新的疾病或就醫記錄，這些情況會影響護校的核準嗎？ 另外，覆校時需要補繳失效期間的所有保費嗎？補繳的保費有沒有利息？麻煩告知我完整的辦理流程。,您好，我的凱基人壽心康泰住院醫療限額給付健康保險附約之前因為忘記繳費而失效了，現在想要辦理復效。請問復效申請需要什麼條件，已經失效多久了還可以申請復效，是不是有年限的限制。辦理復效的時候需要重新做健康告知嗎，如果這段失效期間有新的疾病或就醫紀錄，這些情況會影響復效的核准嗎。另外復效時需要補繳失效期間的所有保費嗎，補繳的保費有沒有利息，麻煩告知我完整的辦理流程。,6050.3,0.134,,,,
fun-asr-nano,clean,,d0029,product_inquiry,1,ok,37.339,9.26,您好，我對凱基人壽新豐利月增變額壽險的月配息機制很有興趣，想多瞭解一些細節。請問這個商品的月配息是從 投資報酬裡提波，還是可能會動用到本金。如果市場表現不好，沒有足夠的投資收益，當月還是會配齊嗎？ 另外，我想知道每月配齊的金額是固定的，還是根據投資績效每月調整，以及我可以自己決定配齊金額嗎？還是說配齊比例是固定的？謝謝你的說。 光明。,您好，我對凱基人壽新豐利月增變額壽險的月配息機制很有興趣，想多了解一些細節。請問這個商品的月配息是從投資報酬裡提撥，還是可能會動用到本金。如果市場表現不好，沒有足夠的投資收益，當月還是會配息嗎。另外我想知道每月配息的金額是固定的還是會根據投資績效每月調整，以及我可以自己決定配息金額嗎，還是說配息比例是固定的，謝謝妳的說明。,5045.8,0.135,,,,
fun-asr-nano,codec,15.0,d0029,product_inquiry,1,ok,37.339,5.56,您好，我對凱基人壽新風利月增變額壽險的月配息機制很有興趣，想多瞭解一些細節。請問這個商品的月配息是從 投資報酬裡提波，還是可能會動用到本金。如果市場表現不好，沒有足夠的投資收益，當月還是會配息嗎？ 另外我想知道每月配息的金額是固定的還是會根據投資績效每月調整，以及我可以自己決定配息金額嗎？還是說配息比例是固定的？謝謝你的說。 透明。,您好，我對凱基人壽新豐利月增變額壽險的月配息機制很有興趣，想多了解一些細節。請問這個商品的月配息是從投資報酬裡提撥，還是可能會動用到本金。如果市場表現不好，沒有足夠的投資收益，當月還是會配息嗎。另外我想知道每月配息的金額是固定的還是會根據投資績效每月調整，以及我可以自己決定配息金額嗎，還是說配息比例是固定的，謝謝妳的說明。,5465.3,0.146,,,,
fun-asr-nano,echo,15.0,d0029,product_inquiry,1,ok,37.339,10.49,您好，我對凱基人壽新豐利月增店和壽險的月配息機制很有興趣，想多瞭解一些細節。請問這個商品的月配息是從。 投資報酬裡提波，還是可能會動用到本金。如果市場表現不好，沒有足夠的投資收益，當月還是會配息嗎？ 另外我想知道每月配息的金額是固定的還是會根據投資績效每月調整以及我可以自己決定配息金額嗎還是說配息比例是固定的謝謝你說 不用不用不用。,您好，我對凱基人壽新豐利月增變額壽險的月配息機制很有興趣，想多了解一些細節。請問這個商品的月配息是從投資報酬裡提撥，還是可能會動用到本金。如果市場表現不好，沒有足夠的投資收益，當月還是會配息嗎。另外我想知道每月配息的金額是固定的還是會根據投資績效每月調整，以及我可以自己決定配息金額嗎，還是說配息比例是固定的，謝謝妳的說明。,5216.6,0.14,,,,
fun-asr-nano,babble,15.0,d0029,product_inquiry,1,ok,37.339,8.64,您好，我對凱基人壽新風利月增變額壽險的月配息機制很有興趣，想多瞭解一些細節。請問這個商品的月配息是從 投資報酬裡提波，還是可能會動用到本金。如果市場表現不好，沒有足夠的投資收益，當月還是會配齊嗎？ 另外我想知道每月配齊的金額是固定的，還是會根據投資績效每月調整，以及我可以自己決定配齊金額嗎？還是說配齊比例是固定的？謝謝你的說。 不明。,您好，我對凱基人壽新豐利月增變額壽險的月配息機制很有興趣，想多了解一些細節。請問這個商品的月配息是從投資報酬裡提撥，還是可能會動用到本金。如果市場表現不好，沒有足夠的投資收益，當月還是會配息嗎。另外我想知道每月配息的金額是固定的還是會根據投資績效每月調整，以及我可以自己決定配息金額嗎，還是說配息比例是固定的，謝謝妳的說明。,5079.8,0.136,,,,
fun-asr-nano,clean,,d0021,policy_change,1,ok,38.641,8.28,您好，我想更新凱基人壽小安心長期照顧終身保險的自動扣繳賬戶。我原本設定的是某家銀行的賬戶，但那個賬戶最近要。 關閉，想改成另一家銀行的賬號。請問辦理扣繳賬戶變更需要什麼程序？要提供新賬戶的存摺銀本嗎？還是 只要填申請書就好。另外想確認一下，這個月的保費繳費日快到了，如果現在申請變更，能在這個月的繳費日前生效嗎？還是說這 這個月還是會從舊賬戶扣款。,您好，我想更新凱基人壽享安心長期照顧終身保險的自動扣繳帳戶。我原本設定的是某家銀行的帳戶，但那個帳戶最近要關閉，想改成另一家銀行的帳號。請問辦理扣繳帳戶變更需要什麼程序，要提供新帳戶的存摺影本嗎，還是只要填申請書就好。另外想確認一下，這個月的保費繳費日快到了，如果現在申請變更，能在這個月的繳費日前生效嗎，還是說這個月還是會從舊帳戶扣款。,5357.1,0.139,,,,
fun-asr-nano,codec,15.0,d0021,policy_change,1,ok,38.641,9.47,您好，我想更新凱基人壽小愛心長期照顧終身保險的自動扣繳賬戶。我原本設定的是某家銀行的賬戶，但那個賬戶最近要。 關閉，想改成另一家銀行的賬號。請問辦理扣繳賬戶變更需要什麼程序？要提供新賬戶的存摺銀本嗎？還是 只要填申請書就好。另外想確認一下，這個月的保費繳費日快到了，如果現在申請變更，能在這個月的繳費日前生效嗎？還是說這。 每個月還是會從舊賬戶扣款。,您好，我想更新凱基人壽享安心長期照顧終身保險的自動扣繳帳戶。我原本設定的是某家銀行的帳戶，但那個帳戶最近要關閉，想改成另一家銀行的帳號。請問辦理扣繳帳戶變更需要什麼程序，要提供新帳戶的存摺影本嗎，還是只要填申請書就好。另外想確認一下，這個月的保費繳費日快到了，如果現在申請變更，能在這個月的繳費日前生效嗎，還是說這個月還是會從舊帳戶扣款。,5252.5,0.136,,,,
