model,noise_type,snr_db,case_id,category,repeat,status,audio_duration_s,cer,hyp_text,ref_text,inference_time_ms,rtf,ttfp_ms,ttff_ms,e2e_ms,error_msg
qwen3-asr,clean,,d0046,lapse_reinstate,1,ok,45.278,6.63,您好，我的開基人壽新康泰住院醫療限額給付健康保險復約之前因為忘記繳費而失效了，現在想要辦理復效。請問復效申請需要什麼條件？已經失效多久了還可以申請復效？是不是有年限的限制？辦理復效的時候需要重新做健康告知嗎？如果這段失效期間有新的疾病或就醫記錄，這些情況會影響復效的核準嗎？另外復效時需要補繳失效期間的所有保費嗎？補繳的保費有沒有利息？麻煩告知我完整的辦理流程。,您好，我的凱基人壽心康泰住院醫療限額給付健康保險附約之前因為忘記繳費而失效了，現在想要辦理復效。請問復效申請需要什麼條件，已經失效多久了還可以申請復效，是不是有年限的限制。辦理復效的時候需要重新做健康告知嗎，如果這段失效期間有新的疾病或就醫紀錄，這些情況會影響復效的核准嗎。另外復效時需要補繳失效期間的所有保費嗎，補繳的保費有沒有利息，麻煩告知我完整的辦理流程。,14814.0,0.327,,,,
qwen3-asr,codec,15.0,d0046,lapse_reinstate,1,ok,45.278,6.08,您好，我的凱基人壽新康泰住院醫療限額給付健康保險復約之前因為忘記繳費而失效了，現在想要辦理復效。請問復效申請需要什麼條件？已經失效多久了還可以申請復效？是不是有年限的限制？辦理復效的時候需要重新做健康告知嗎？如果這段失效期間有新的疾病或就醫記錄，這些情況會影響復效的核準嗎？另外復效時需要補繳失效期間的所有保費嗎？補繳的保費有沒有利息？麻煩告知我完整的辦理流程。,您好，我的凱基人壽心康泰住院醫療限額給付健康保險附約之前因為忘記繳費而失效了，現在想要辦理復效。請問復效申請需要什麼條件，已經失效多久了還可以申請復效，是不是有年限的限制。辦理復效的時候需要重新做健康告知嗎，如果這段失效期間有新的疾病或就醫紀錄，這些情況會影響復效的核准嗎。另外復效時需要補繳失效期間的所有保費嗎，補繳的保費有沒有利息，麻煩告知我完整的辦理流程。,11247.1,0.248,,,,
qwen3-asr,echo,15.0,d0046,lapse_reinstate,1,ok,45.278,11.6,您好，我的開基院壽星康泰住院醫療限額健康保險復約之前因為忘記繳費而失效了，現在想要辦理復效。請問復效申請需要什麼條件？已經失效多久了，還可以申請復效？是不是有限的限制？辦理復效的時候需要重新做健康告知嗎？如果這段失效期間有新的疾病或又有記錄，這些情況會影響復效的核準嗎？另外復效時需要注繳失效期間的所有保費嗎？不繳的保費有沒有利息？麻煩告知我完整的辦理流程。,您好，我的凱基人壽心康泰住院醫療限額給付健康保險附約之前因為忘記繳費而失效了，現在想要辦理復效。請問復效申請需要什麼條件，已經失效多久了還可以申請復效，是不是有年限的限制。辦理復效的時候需要重新做健康告知嗎，如果這段失效期間有新的疾病或就醫紀錄，這些情況會影響復效的核准嗎。另外復效時需要補繳失效期間的所有保費嗎，補繳的保費有沒有利息，麻煩告知我完整的辦理流程。,38275.3,0.845,,,,
qwen3-asr,babble,15.0,d0046,lapse_reinstate,1,ok,45.278,7.18,您好，我的開基人壽新康泰住院醫療限額給付健康保險復約之前因為忘記繳費而失效了，現在想要辦理復效，請問復效申請需要什麼條件？已經失效多久了還可以申請復效？是不是有年限的限制？辦理復效的時候需要重新做健康告知嗎？如果這段失效期間有新的疾病或就醫記錄，這些情況會影響復效的核準嗎？另外復效時需要補繳失效期間的所有保費嗎？補繳的保費有沒有利息？麻煩告知我完整的辦理流程。,您好，我的凱基人壽心康泰住院醫療限額給付健康保險附約之前因為忘記繳費而失效了，現在想要辦理復效。請問復效申請需要什麼條件，已經失效多久了還可以申請復效，是不是有年限的限制。辦理復效的時候需要重新做健康告知嗎，如果這段失效期間有新的疾病或就醫紀錄，這些情況會影響復效的核准嗎。另外復效時需要補繳失效期間的所有保費嗎，補繳的保費有沒有利息，麻煩告知我完整的辦理流程。,25417.8,0.561,,,,
qwen3-asr,clean,,d0029,product_inquiry,1,ok,37.339,6.17,您好，我對凱基人壽新風利月增變額壽險的月配息機制很有興趣，想多瞭解一些細節。請問這個商品的月配息是從投資報酬裡提撥，還是可能會動用到本金？如果市場表現不好，沒有足夠的投資收益，當月還是會配息嗎？另外，我想知道每月配息的金額是固定的，還是會根據投資績效每月調整？以及我可以自己決定配息金額嗎？還是說配息比例是固定的？謝謝你的說明。,您好，我對凱基人壽新豐利月增變額壽險的月配息機制很有興趣，想多了解一些細節。請問這個商品的月配息是從投資報酬裡提撥，還是可能會動用到本金。如果市場表現不好，沒有足夠的投資收益，當月還是會配息嗎。另外我想知道每月配息的金額是固定的還是會根據投資績效每月調整，以及我可以自己決定配息金額嗎，還是說配息比例是固定的，謝謝妳的說明。,21514.0,0.576,,,,
qwen3-asr,codec,15.0,d0029,product_inquiry,1,ok,37.339,5.56,您好，我對凱基人壽新風利月增變額壽險的月配息機制很有興趣，想多瞭解一些細節。請問這個商品的月配息是從投資報酬裡提撥，還是可能會動用到本金？如果市場表現不好，沒有足夠的投資收益，當月還是會配息嗎？另外，我想知道每月配息的金額是固定的，還是會根據投資績效每月調整，以及我可以自己決定配息金額嗎？還是說配息比例是固定的？謝謝你的說明。,您好，我對凱基人壽新豐利月增變額壽險的月配息機制很有興趣，想多了解一些細節。請問這個商品的月配息是從投資報酬裡提撥，還是可能會動用到本金。如果市場表現不好，沒有足夠的投資收益，當月還是會配息嗎。另外我想知道每月配息的金額是固定的還是會根據投資績效每月調整，以及我可以自己決定配息金額嗎，還是說配息比例是固定的，謝謝妳的說明。,16576.2,0.444,,,,
qwen3-asr,echo,15.0,d0029,product_inquiry,1,ok,37.339,6.79,您好，我對凱基人壽新風力月增變額壽險的月配息機制很有興趣，想做了解一些細節。請問這個商品的月配息是從投資報酬裡提撥，還是可能會動用到本金？如果市場表現不好，沒有足夠的投資收益，當月還是會配息嗎？另外我想知道，每月配息的金額是固定的，還是會根據投資績效每月調整？以及我可以自己決定配息金額嗎？還是說配息比例是固定的？謝謝你的說明。,您好，我對凱基人壽新豐利月增變額壽險的月配息機制很有興趣，想多了解一些細節。請問這個商品的月配息是從投資報酬裡提撥，還是可能會動用到本金。如果市場表現不好，沒有足夠的投資收益，當月還是會配息嗎。另外我想知道每月配息的金額是固定的還是會根據投資績效每月調整，以及我可以自己決定配息金額嗎，還是說配息比例是固定的，謝謝妳的說明。,17523.0,0.469,,,,
qwen3-asr,babble,15.0,d0029,product_inquiry,1,ok,37.339,6.17,您好，我對凱基人壽新風利月增變額壽險的月配息機制很有興趣，想多瞭解一些細節。請問這個商品的月配息是從投資報酬裡提撥，還是可能會動用到本金？如果市場表現不好，沒有足夠的投資收益，當月還是會配息嗎？另外，我想知道每月配息的金額是固定的，還是會根據投資績效每月調整？以及我可以自己決定配息金額嗎？還是說配息比例是固定的？謝謝你的說明。,您好，我對凱基人壽新豐利月增變額壽險的月配息機制很有興趣，想多了解一些細節。請問這個商品的月配息是從投資報酬裡提撥，還是可能會動用到本金。如果市場表現不好，沒有足夠的投資收益，當月還是會配息嗎。另外我想知道每月配息的金額是固定的還是會根據投資績效每月調整，以及我可以自己決定配息金額嗎，還是說配息比例是固定的，謝謝妳的說明。,14853.9,0.398,,,,
qwen3-asr,clean,,d0021,policy_change,1,ok,38.641,9.47,您好，我想更新凱基人壽想按新長期照顧終身保險的自動扣繳賬戶。我原本設定的是某家銀行的賬戶，但那個賬戶最近要關閉，想改成另一家銀行的賬號。請問辦理扣繳賬戶變更需要什麼程序？要提供新賬戶的存摺影本嗎？還是隻要填申請書就好？另外想確認一下，這個月的保費繳費日快到了，如果現在申請變更，能在這個月的繳費日前生效嗎？還是說這個月還是會從舊賬戶扣款？,您好，我想更新凱基人壽享安心長期照顧終身保險的自動扣繳帳戶。我原本設定的是某家銀行的帳戶，但那個帳戶最近要關閉，想改成另一家銀行的帳號。請問辦理扣繳帳戶變更需要什麼程序，要提供新帳戶的存摺影本嗎，還是只要填申請書就好。另外想確認一下，這個月的保費繳費日快到了，如果現在申請變更，能在這個月的繳費日前生效嗎，還是說這個月還是會從舊帳戶扣款。,12663.5,0.328,,,,
qwen3-asr,codec,15.0,d0021,policy_change,1,ok,38.641,10.06,您好，我想更新凱基人壽想按新長期照顧終身保險的自動扣繳賬戶。我原本設定的是某家銀行的賬戶，但那個賬戶最近要關閉，想改成另一家銀行的賬號。請問辦理扣繳賬戶變更需要什麼程序？要提供新賬戶的存摺銀本嗎？還是隻要填申請書就好？另外想確認一下，這個月的保費繳費日快到了，如果現在申請變更，能在這個月的繳費日前生效嗎？還是說這個月還是會從舊賬戶扣款？,您好，我想更新凱基人壽享安心長期照顧終身保險的自動扣繳帳戶。我原本設定的是某家銀行的帳戶，但那個帳戶最近要關閉，想改成另一家銀行的帳號。請問辦理扣繳帳戶變更需要什麼程序，要提供新帳戶的存摺影本嗎，還是只要填申請書就好。另外想確認一下，這個月的保費繳費日快到了，如果現在申請變更，能在這個月的繳費日前生效嗎，還是說這個月還是會從舊帳戶扣款。,10383.5,0.269,,,,
qwen3-asr,echo,15.0,d0021,policy_change,1,ok,38.641,14.2,您好，我想更新凱基人壽，想按新長期賬戶終身保險的自動扣繳賬戶。我原本設定的是某家銀行的賬戶，但那個賬戶最近要關閉，想改成另一家銀行的賬戶。請問辦理扣繳賬戶變更需要什麼程序？要提供新賬戶的存摺一本嗎？還是隻要填申請書就好？好。另外想確認一下，這個月的保費繳費日快到了，如果現在申請變更，能在正月的繳費日前生效嗎？還是說這個月還是會從舊賬戶扣款？,您好，我想更新凱基人壽享安心長期照顧終身保險的自動扣繳帳戶。我原本設定的是某家銀行的帳戶，但那個帳戶最近要關閉，想改成另一家銀行的帳號。請問辦理扣繳帳戶變更需要什麼程序，要提供新帳戶的存摺影本嗎，還是只要填申請書就好。另外想確認一下，這個月的保費繳費日快到了，如果現在申請變更，能在這個月的繳費日前生效嗎，還是說這個月還是會從舊帳戶扣款。,10397.6,0.269,,,,
qwen3-asr,babble,15.0,d0021,policy_change,1,ok,38.641,10.65,您好，我想更新凱基人壽，想按新長期照顧終身保險的自動扣繳賬戶。我原本設定的是某家銀行的賬戶，但那個賬戶最近要關閉，想改成另一家銀行的賬號。請問辦理扣繳賬戶變更需要什麼程序？要提供新賬戶的存摺銀本嗎？還是隻要填申請書就好？另外想確認一下，這個月的保費繳費日快到了，如果現在申請變更，能在這個月的繳費日前生效嗎？還是說這個月還是會從舊賬戶扣款？,您好，我想更新凱基人壽享安心長期照顧終身保險的自動扣繳帳戶。我原本設定的是某家銀行的帳戶，但那個帳戶最近要關閉，想改成另一家銀行的帳號。請問辦理扣繳帳戶變更需要什麼程序，要提供新帳戶的存摺影本嗎，還是只要填申請書就好。另外想確認一下，這個月的保費繳費日快到了，如果現在申請變更，能在這個月的繳費日前生效嗎，還是說這個月還是會從舊帳戶扣款。,9787.5,0.253,,,,
qwen3-asr,clean,,d0023,policy_change,1,ok,42.15,5.65,您好，我想詢問凱基人壽新安心賬戶終身保險辦理減額繳清的相關事宜。我最近經濟狀況比較吃緊，沒辦法繼續繳每年的保費，但又不想就這樣把保單解約，想了解減額繳清是不是一個比較好的選擇。請問辦理減額繳清之後，我的保障內容會有什麼變化？保額會降低多少？保障期間還是一樣嗎？另外，申請減額繳清需要符合什麼條件？這張保單目前的保單現金價值是否足夠辦理？麻煩你幫我說明一下。,您好，我想詢問凱基人壽心安心照護終身保險辦理減額繳清的相關事宜。我最近經濟狀況比較吃緊，沒辦法繼續繳每年的保費，但又不想就這樣把保單解約，想了解減額繳清是不是一個比較好的選擇。請問辦理減額繳清之後，我的保障內容會有什麼變化，保額會降低多少，保障期間還是一樣嗎。另外申請減額繳清需要符合什麼條件，這張保單目前的保單現金價值是否足夠辦理，麻煩妳幫我說明一下。,11669.1,0.277,,,,
qwen3-asr,codec,15.0,d0023,policy_change,1,ok,42.15,5.65,您好，我想詢問凱基人壽新安心賬戶終身保險辦理減額繳清的相關事宜。我最近經濟狀況比較吃緊，沒辦法繼續繳每年的保費，但又不想就這樣把保單解約，想了解減額繳清是不是一個比較好的選擇。請問辦理減額繳清之後，我的保障內容會有什麼變化？保額會降低多少？保障期間還是一樣嗎？另外，申請減額繳清需要符合什麼條件？這張保單目前的保單現金價值是否足夠辦理？麻煩你幫我說明一下。,您好，我想詢問凱基人壽心安心照護終身保險辦理減額繳清的相關事宜。我最近經濟狀況比較吃緊，沒辦法繼續繳每年的保費，但又不想就這樣把保單解約，想了解減額繳清是不是一個比較好的選擇。請問辦理減額繳清之後，我的保障內容會有什麼變化，保額會降低多少，保障期間還是一樣嗎。另外申請減額繳清需要符合什麼條件，這張保單目前的保單現金價值是否足夠辦理，麻煩妳幫我說明一下。,10728.4,0.255,,,,
